order_id,rank,car_part_id
1874357,3,48
1874357,4,38
1874357,5,31
1874357,6,36
1874357,7,47
1874371,1,44
1874371,2,32
1874371,3,41
1874371,4,39
1874371,5,45
1874371,6,34
1874378,1,33
1874378,2,44
1874378,3,35
1874378,4,29
1874378,5,39
1874378,6,36
1874378,7,45
1874378,8,40
1874379,1,47
1874379,2,39
1874379,3,26
1874379,4,41
1874379,5,37
1874360,1,29
1874360,2,46
1874360,3,38
1874363,1,32
1874363,2,33
1874363,3,44
1874363,4,41
1874363,5,28
1874363,6,45
1874363,7,34
1874363,8,40
1874377,1,40
1874377,2,37
1874377,3,39
1874377,4,41
1874377,5,31
1874377,6,42
1874377,7,36
1874377,8,32
1874368,1,42
1874368,2,50
1874368,3,45
1874380,1,29
1874380,2,36
1874380,3,43
1874380,4,35
1874380,5,48
1874380,6,41
1874351,1,10
1874351,2,14
1874351,3,1
1874351,4,22
1874351,5,20
1874424,1,84
1874424,2,90
1874424,3,79
1874424,4,89
1874424,5,82
1874424,6,93
1874424,7,81
1874331,1,14
1874331,2,25
1874331,3,23
1874331,4,9
1874331,5,7
1874331,6,13
1874331,7,12
1874349,1,7
1874349,2,3
1874349,3,21
1874349,4,23
1874349,5,14
1874349,6,15
1874349,7,13
1874340,1,11
1874340,2,10
1874340,3,3
1874340,4,20
1874340,5,7
1874340,6,16
1874340,7,9
1874346,1,3
1874346,2,25
1874346,3,16
1874346,4,19
1874334,1,12
1874334,2,3
1874334,3,1
1874334,4,23
1874334,5,13
1874334,6,18
1874334,7,25
1874402,1,62
1874402,2,74
1874402,3,53
1874402,4,51
1874402,5,65
1874402,6,66
1874402,7,73
1874399,1,57
1874399,2,72
1874399,3,68
1874399,4,55
1874399,5,74
1874399,6,75
1874399,7,70
1874399,8,71
1874391,1,57
1874391,2,64
1874391,3,61
1874391,4,62
1874405,1,55
1874405,2,66
1874405,3,53
1874405,4,68
1874405,5,73
1874405,6,61
1874397,1,68
1874397,2,74
1874397,3,70
1874396,1,61
1874396,2,68
1874396,3,66
1874396,4,56
1874396,5,54
1874341,1,3
1874341,2,6
1874341,3,2
1874341,4,20
1874339,1,22
1874339,2,8
1874339,3,1
1874339,4,16
1874339,5,3
